"Field name","Question number","Max field length","Minimum Value","Maximum value","Data type","Control type","Item values"
"S01Assessment","Q. 1.1","","","","int","Combo box","0 = First paediatric assessment; 1 = First year of care; 2 = Second year of care; 3 = Third year of care; 4 = 4th year of care; 5 = 5th year of care; 6 = 6th year of care; 7 = 7th year of care; 8 = 8th year of care; 9 = 9th year of care; 10 = 10th year of care"
"S01OptOut","Q. 1.2","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S01OptOutDate","Q. 1.21","","","","datetime","Date",""
"S01FollowUpEpisodes","Q. 1.3","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S01FollowUpEpisodesStatus","Q. 1.31","","","","varchar(3)","Radio button list","1 = Discharged and transferred to another paediatric provider; 2 = Transferred to adult services; 3 = Discharged to GP because ongoing paediatric follow up not required; 7 = Discharged to GP because DNA/was not brought/Cancelled; 4 = Followed up by paediatrics but not because of epileptic non-epileptic or uncertain episodes; 5 = No ongoing follow up for other reason; 6 = Died"
"S01FollowUpEpisodesStatusDate","Q. 1.31i","","","","datetime","Date",""
"S01FollowUpEpisodesReason","Q. 1.31ii","250","","","varchar(250)","Textbox",""
"S01SiteCode","Q. 1.3","10","","","varchar(10)","{n/a}",""
"S01Gender","Q. 1.3","3","","","varchar(3)","{n/a}",""
"S01DOB","Q. 1.3","","","","datetime","{n/a}",""
"S01FirstAssessmentsDate","Q. 1.3","","","","datetime","{n/a}",""
"S01NeonatalSeizures","Q. 2.1","","","","varchar(3)","Radio button list","Y = Yes; N = No; U = Uncertain"
"S01FebrileSeizure","Q. 2.2","","","","varchar(3)","Radio button list","Y = Yes; N = No; U = Uncertain"
"S01AcuteSymptomaticSeizure","Q. 2.3","","","","varchar(3)","Radio button list","Y = Yes; N = No; U = Uncertain"
"S01DiagnosticStatus","Q. 2.4","","","","varchar(3)","Radio button list","a = The child has had an episode or episodes where one or more are considered epileptic; b = The child has had an episode or episodes that are considered non-epileptic only; c = The child has had an episode or episodes where there remains uncertainty whether episodes were epileptic or not."
"S01DescribeTheEpisode","Q. 2.4i","","","","varchar(3)","Radio button list","a = This was a single episode; b = This was a cluster within 24 hours; c = These were 2 or more episodes more than 24 hours apart; d = The patient was diagnosed as having epilepsy for another reason"
"S01EPIS","Q. 2.4ii","","1","","int","User control",""
"S01Notes","Q. 2.5","250","","","varchar(250)","Textbox",""
"S03SectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"S03HomePostcodeOut","Q. 3.1","4","","","varchar(4)","Textbox",""
"S03HomePostcodeIn","Q. 3.1i","3","","","varchar(3)","Textbox",""
"S03CurrentGeneralPracticeCode","Q. Hide","10","","","varchar(10)","{n/a}",""
"S03GPPostcodeOut","Q. 3.2","4","","","varchar(4)","Textbox",""
"S03GPPostcodeIn","Q. 3.2i","3","","","varchar(3)","Textbox",""
"S03CurrentEpilepsyService","Q. 3.3","10","","","varchar(10)","Combo box","uspx_LeadEpTeamCurrentEpilepsyService = FullDetails"
"S03SecondaryPaediatricConsultant","Q. 3.4","10","","","varchar(10)","Combo box","uspx_LeadEpTeamSecondaryPaediatricConsultant = FullDetails"
"S03CurrentEsn","Q. 3.5","10","","","varchar(10)","Combo box","uspx_LeadEpTeamCurrentEsn = FullDetails"
"S03StatusPaediatricNeurologyFollowUp","Q. 3.6","","","","varchar(3)","Radio button list","a = Ongoing input; b = Previous input; c = Uncertain; d = None"
"S03TrustsTertiaryPaediatricNeurologyEpilepsy","Q. 3.6i","10","","","varchar(10)","Combo box","uspx_LeadEpTeamServiceTrustsTertiaryPaediatricNeurologyEpilepsy = FullDetails"
"S03CurrentPaediatricNeurologist","Q. 3.6ii","10","","","varchar(10)","Combo box","uspx_LeadEpTeamCurrentPaediatricNeurologist = FullDetails"
"S03CurrentStatusOfEpilepsySurgeryService","Q. 3.7","","","","varchar(3)","Radio button list","a = Ongoing input; b = Previous input; c = Uncertain; d = None"
"S03CurrentManagingEpilepsySurgeryService","Q. 3.7i","20","","","varchar(20)","Combo box","uspx_AffiliatedCESS_List = AffiliatedCESSName"
"S03SiteCode","Q. 3.7a","10","","","varchar(10)","{n/a}",""
"S03FormChecked","Q. 3.8","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"S04SectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"S04ServiceChildReferredForFirstAssessment","Q. 4.1","","","","varchar(3)","Radio button list","1 = ED; 2 = GP; 3 = Health Visitor; 4 = Outpatient paediatrics; 5 = Inpatient paediatrics; 6 = PICU; 7 = Neonatal care; 8 = Other"
"S04ServiceChildReferredForFirstAssessmentOther","Q. 4.1i","250","","","varchar(250)","Textbox",""
"S04DateOfReferralToPaediatrics","Q. 4.2","","","","datetime","Date",""
"S04DateOfReferralToPaediatrics_NK"," - ","","","","bit","Checkbox","1 = Checked; 0 = Unchecked"
"S04FirstPaediatricAssessmentAcuteOrNonAcute","Q. 4.3","","","","varchar(3)","Radio button list","1 = Acute; 2 = Non-acute; 3 = Don't know"
"S04ADescriptionOfTheEpisodeOrEpisodes","Q. 4.41","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S04WhenTheFirstEpilepticEpisodeOccurredApxExcNK","Q. 4.42","","","","varchar(3)","Radio button list","Apx = Approximate date; Exc = Exact date; NK = Not known"
"S04WhenTheFirstEpilepticEpisodeOccurred","Q. 4.42i","","","","datetime","Date",""
"S04FrequencyOrNumberOfEpisodesSinceTheFirstEpisode","Q. 4.43","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S04AGeneralExamination","Q. 4.44","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S04ANeurologicalExamination","Q. 4.45","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S04DevelopmentalLearningOrSchoolingProblems","Q. 4.46","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S04BehaviouralOrEmotionalProblems","Q. 4.47","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S04Comments","Q. 4.48","250","","","varchar(250)","Textbox",""
"S04FormChecked","Q. 4.5","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"S05SectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"S05SEIZ","Q. 5.1","","0","","int","User control",""
"S05ECLS","Q. 5.2","","0","","int","User control",""
"S05CAUS","Q. 5.3","","0","","int","User control",""
"S05NUDS","Q. 5.4","","0","","int","User control",""
"S05MHPB","Q. 5.5","","0","","int","User control",""
"S05WereAnyOfTheEpilepticSeizuresConvulsive","Q. 5.6","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S05ProlongedGeneralizedConvulsiveSeizures","Q. 5.7","","","","varchar(3)","Radio button list","Y = Yes; N = No; U = Uncertain"
"S05ExperiencedProlongedFocalSeizures","Q. 5.8","","","","varchar(3)","Radio button list","Y = Yes; N = No; U = Uncertain"
"S05IsThereAFamilyHistoryOfEpilepsy","Q. 5.9","","","","varchar(3)","Radio button list","Y = Yes; N = No; N = Not assessed"
"S05IsThereAFamilyHistoryOfEpilepsyNotes","Q. 5.9i","250","","","varchar(250)","Textbox",""
"S05FormChecked","Q. 5.10","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"S06SectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"S06FirstEeg","Q. 6.11","","","","varchar(3)","Radio button list","1 = Not requested; 2 = Requested and waiting; 3 = Obtained; 4 = Requested and did not attend; 5 = Requested and attempted but not achieved"
"S06FirstEegDate","Q. 6.11i","","","","datetime","Date",""
"S06FirstEegReasons","Q. 6.11ii","250","","","varchar(250)","Textbox",""
"S0612LeadEcg","Q. 6.12","","","","varchar(3)","Radio button list","1 = Not requested; 2 = Requested and waiting; 3 = Obtained; 4 = Requested and did not attend; 5 = Requested and attempted but not achieved"
"S0612LeadEcgDate","Q. 6.12i","","","","datetime","Date",""
"S0612LeadEcgReasons","Q. 6.12ii","250","","","varchar(250)","Textbox",""
"S06IsThereEvidenceThatTheQtcCalculated","Q. 6.12iii","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S06CtHeadScan","Q. 6.13","","","","varchar(3)","Radio button list","1 = Not requested; 2 = Requested and waiting; 3 = Obtained; 4 = Requested and did not attend; 5 = Requested and attempted but not achieved"
"S06CtHeadScanDate","Q. 6.13i","","","","datetime","Date",""
"S06CtHeadScanReasons","Q. 6.13ii","250","","","varchar(250)","Textbox",""
"S06MriBrain","Q. 6.14","","","","varchar(3)","Radio button list","1 = Not requested; 2 = Requested and waiting; 3 = Obtained; 4 = Requested and did not attend; 5 = Requested and attempted but not achieved"
"S06MriBrainDate","Q. 6.14i","","","","datetime","Date",""
"S06MriBrainReasons","Q. 6.14ii","250","","","varchar(250)","Textbox",""
"S06InvestigationSectionNotes","Q. 6.15","250","","","varchar(250)","Textbox",""
"S06FormChecked","Q. 6.2","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"S07SectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"S07HasAnAedBeenGiven","Q. 7.1","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S07AED","Q. 7.1i","","1","","int","User control",""
"S07RescueMedication","Q. 7.2","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S07RMED","Q. 7.2i","","","","int","User control",""
"S07DoesTheChildHaveAnyOfTheCESSReferralCriteria","Q. 7.3","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S07DoesTheChildHaveAnyOfTheCESSReferralCriteriaNotes","Q. 7.3i","250","","","varchar(250)","Textbox",""
"S07FormChecked","Q. 7.4","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"S08SectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"S08IndividualisedPlanningOfCare","Q. 8.1","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08IndividualisedPlanningOfCareDetails","Q. 8.1i","250","","","varchar(250)","Textbox",""
"S08IndividualisedEpilepsyDocuments","Q. 8.2","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08IndividualisedEpilepsyDocumentsDetails","Q. 8.2i","250","","","varchar(250)","Textbox",""
"S08ParentCarerPatientAgreementToThePlanOfCare","Q. 8.3","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08ParentCarerPatientAgreementToThePlanOfCareDetails","Q. 8.3i","250","","","varchar(250)","Textbox",""
"S08CarePlanUpdatedEvidence","Q. 8.4","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08CarePlanUpdatedEvidenceDetails","Q. 8.4i","250","","","varchar(250)","Textbox",""
"S08CareThatEncompassesServiceContact","Q. 8.5","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08Serv","Q. 8.5i","","","","int","User control",""
"S08CareThatEncompassesFirstAid","Q. 8.6","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08FAID","Q. 8.6i","","","","int","User control",""
"S08CareThatEncompassesAParentalProlongedSeizureCarePlan","Q. 8.7","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08PSCP","Q. 8.7i","","","","int","User control",""
"S08CareThatEncompassesGeneralParticipationAndRisk","Q. 8.8","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08Risk","Q. 8.8i","","","","int","User control",""
"S08CareThatEncompassesWaterSafety","Q. 8.9","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08Watr","Q. 8.9i","","","","int","User control",""
"S08CareThatEncompassesSUDEP","Q. 8.10","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08SUDP","Q. 8.10i","","","","int","User control",""
"S08CareThatEncompassesRoadSafety","Q. 8.11","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08RdSf","Q. 8.11i","","","","int","User control",""
"S08CareThatEncompassesHeights","Q. 8.12","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08Hght","Q. 8.12i","","","","int","User control",""
"S08CareThatEncompassesSleep","Q. 8.13","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08Slep","Q. 8.13i","","","","int","User control",""
"S08CareThatEncompassesPhotosensitivity","Q. 8.14","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08PtSe","Q. 8.14i","","","","int","User control",""
"S08Info","Q. 8.15","","","","int","User control",""
"S08Teen","Q. 8.16","","","","int","User control",""
"S08Epil","Q. 8.17","","","","int","User control",""
"S08SeizureDiary","Q. 8.18","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S08SzDi","Q. 8.18i","","","","int","User control",""
"S08IsThereEvidenceOfAIHP","Q. 8.19","","","","varchar(3)","Radio button list","1 = No evidence; 2 = Requested but no other evidence; 3 = Possibly in place but uncertain; 4 = Documented as in place but no copy of IHP; 5 = Copy of the IHP within trust health record"
"S08IsThereEvidenceOfAIHPDate","Q. 8.19i","","","","datetime","Date",""
"S08IsThereEvidenceOfAnEHCP","Q. 8.20","","","","varchar(3)","Radio button list","1 = No evidence; 2 = Requested but no other evidence; 3 = Possibly in place but uncertain; 4 = Documented as in place but no copy of EHCP; 5 = Copy of the EHCP within trust health record; NA = Not applicable to this patient"
"S08IsThereEvidenceOfAnEHCPDate","Q. 8.20i","","","","datetime","Date",""
"S08Edu","Q. 8.21","","","","int","User control",""
"S08SiteCode","Q. 8.xx","10","","","varchar(10)","{n/a}",""
"S08FormChecked","Q. 8.22","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"S09SectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"S09WhenWasTheLastEpilepticSeizureApxExcNK","Q. 9.1","","","","varchar(3)","Radio button list","Apx = Approximate date; Exc = Exact date; NK = Not known"
"S09WhenWasTheLastEpilepticSeizure","Q. 9.1i","","","","datetime","Date",""
"S09WhenWasTheLastEpilepticSeizureUpdated","Q. 9.1ii","","","","datetime","Date",""
"S09FormChecked","Q. 9.2","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
"S10SectionStatus"," - ","","","","int","{n/a}","-1 = Not set; 0 = Not saved; 5 = Disabled; 10 = Complete; 20 = Incomplete; 30 = Errors; 60 = TransferredIn; 70 = TransferredOut"
"S10ConsultantPaediatrician","Q. 10.1","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10ConsultantPaediatricianInputDate","Q. 10.1i","","","","datetime","Date",""
"S10ConsultantPaediatricianInputAchieved","Q. 10.1ii","","","","datetime","Date",""
"S10ConsultantPaediatricianInputReasons","Q. 10.1iii","250","","","varchar(250)","Textbox",""
"S10Esn","Q. 10.2","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10EsnInputDate","Q. 10.2i","","","","datetime","Date",""
"S10EsnInputAchieved","Q. 10.2ii","","","","datetime","Date",""
"S10EsnInputReasons","Q. 10.2iii","250","","","varchar(250)","Textbox",""
"S10PaediatricNeurologist","Q. 10.3","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10PaediatricNeurologistInputDate","Q. 10.3i","","","","datetime","Date",""
"S10PaediatricNeurologistInputAchieved","Q. 10.3ii","","","","datetime","Date",""
"S10PaediatricNeurologistInputReasons","Q. 10.3iii","250","","","varchar(250)","Textbox",""
"S10Cess","Q. 10.4","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10CessInputDate","Q. 10.4i","","","","datetime","Date",""
"S10CessInputAchieved","Q. 10.4ii","","","","datetime","Date",""
"S10CessInputReasons","Q. 10.4iii","250","","","varchar(250)","Textbox",""
"S10KetognicDietician","Q. 10.5","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10KetognicDieticianInputDate","Q. 10.5i","","","","datetime","Date",""
"S10KetognicDieticianInputAchieved","Q. 10.5ii","","","","datetime","Date",""
"S10KetognicDieticianInputReasons","Q. 10.5iii","250","","","varchar(250)","Textbox",""
"S10VnsService","Q. 10.6","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10VnsServiceInputDate","Q. 10.6i","","","","datetime","Date",""
"S10VnsServiceInputAchieved","Q. 10.6ii","","","","datetime","Date",""
"S10VnsServiceInputReasons","Q. 10.6iii","250","","","varchar(250)","Textbox",""
"S10GeneticService","Q. 10.7","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10GeneticServiceInputDate","Q. 10.7i","","","","datetime","Date",""
"S10GeneticServiceInputAchieved","Q. 10.7ii","","","","datetime","Date",""
"S10GeneticServiceInputReasons","Q. 10.7iii","250","","","varchar(250)","Textbox",""
"S10ClinicalPsychologist","Q. 10.8","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10ClinicalPsychologistInputDate","Q. 10.8i","","","","datetime","Date",""
"S10ClinicalPsychologistInputAchieved","Q. 10.8ii","","","","datetime","Date",""
"S10ClinicalPsychologistInputReasons","Q. 10.8iii","250","","","varchar(250)","Textbox",""
"S10EducationalPsychologist","Q. 10.9","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10EducationalPsychologistInputDate","Q. 10.9i","","","","datetime","Date",""
"S10EducationalPsychologistInputAchieved","Q. 10.9ii","","","","datetime","Date",""
"S10EducationalPsychologistInputReasons","Q. 10.9iii","250","","","varchar(250)","Textbox",""
"S10Psychiatrist","Q. 10.10","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10PsychiatristInputDate","Q. 10.10i","","","","datetime","Date",""
"S10PsychiatristInputAchieved","Q. 10.10ii","","","","datetime","Date",""
"S10PsychiatristInputReasons","Q. 10.10iii","250","","","varchar(250)","Textbox",""
"S10Neuropyschologist","Q. 10.11","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10NeuropyschologistInputDate","Q. 10.11i","","","","datetime","Date",""
"S10NeuropyschologistInputAchieved","Q. 10.11ii","","","","datetime","Date",""
"S10NeuropyschologistInputReasons","Q. 10.11iii","250","","","varchar(250)","Textbox",""
"S10CounsellingService","Q. 10.12","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10CounsellingServiceInputDate","Q. 10.12i","","","","datetime","Date",""
"S10CounsellingServiceInputAchieved","Q. 10.12ii","","","","datetime","Date",""
"S10CounsellingServiceInputReasons","Q. 10.12iii","250","","","varchar(250)","Textbox",""
"S10OtherMentalHealthProfessional","Q. 10.13","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10OtherMentalHealthProfessionalInputDate","Q. 10.13i","","","","datetime","Date",""
"S10OtherMentalHealthProfessionalInputAchieved","Q. 10.13ii","","","","datetime","Date",""
"S10OtherMentalHealthProfessionalInputReasons","Q. 10.13iii","250","","","varchar(250)","Textbox",""
"S10YouthWorker","Q. 10.14","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10YouthWorkerInputDate","Q. 10.14i","","","","datetime","Date",""
"S10YouthWorkerInputAchieved","Q. 10.14ii","","","","datetime","Date",""
"S10YouthWorkerInputReasons","Q. 10.14iii","250","","","varchar(250)","Textbox",""
"S10OtherFreeField","Q. 10.15","3","","","varchar(3)","Drop down list","1 = Input not requested; 2 = Input requested and waiting for input; 3 = Input requested and input achieved; 4 = Input requested and rejected; 5 = Input requested and non-attended"
"S10OtherFreeFieldInputDate","Q. 10.15i","","","","datetime","Date",""
"S10OtherFreeFieldInputAchieved","Q. 10.15ii","","","","datetime","Date",""
"S10OtherFreeFieldInputReasons","Q. 10.15iii","250","","","varchar(250)","Textbox",""
"S10FormalDevelopmentalAssessment","Q. 10.16","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S10FDA","Q. 10.16i","","","","int","User control",""
"S10FormalCognitiveAssessment","Q. 10.17","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S10FCA","Q. 10.17i","","","","int","User control",""
"S10ReviewByAPaediatrician12Months","Q. 10.18","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S10RBAP","Q. 10.18i","","","","int","User control",""
"S10DiagnosisOfEpilepsyWithdrawn","Q. 10.19","","","","varchar(3)","Radio button list","Y = Yes; N = No"
"S10DOEW","Q. 10.19i","","","","int","User control",""
"S10FormChecked","Q. 10.20","3","","","varchar(3)","Checkbox","1 = Checked; 2 = Unchecked"
